date,competition,journee,equipe_dom,equipe_ext,buts_dom,buts_ext
1997-09-27,ligue-2,12,SM Caen,AS Beauvais,0,1
1997-09-27,ligue-2,12,ES Wasquehal,AS Saint-Étienne,2,1
1997-09-27,ligue-2,12,ASOA Valence,FC Lorient,3,2
1997-09-27,ligue-2,12,ESTAC Troyes,Lille OSC,1,1
1997-09-27,ligue-2,12,SC Toulon,FC Sochaux,0,0
1997-09-27,ligue-2,12,Chamois Niortais,OGC Nice,4,2
1997-09-27,ligue-2,12,Stade Lavallois,Louhans-Cuiseaux,3,0
1997-09-27,ligue-2,12,FC Gueugnon,Red Star FC,4,0
1997-09-27,ligue-2,12,FC Mulhouse,Nîmes Olympique,3,2
1997-09-28,ligue-2,12,AS Nancy Lorraine,FC Martigues,0,0
1997-10-03,national,11,Olympique Noisy-le-Sec Banlieue 93,Stade Poitevin,1,1
1997-10-03,national,11,US Lusitanos de Saint-Maur,Paris FC,1,1
1997-10-03,national,11,RC France 92,AS Angoulême Charente,1,1
1997-10-03,national,11,CS Sedan,US Créteil-Lusitanos,2,1
1997-10-03,national,11,SAS Épinal,AC Ajaccio,1,1
1997-10-03,national,11,FC Istres,US Raon l'Etape,1,0
1997-10-03,national,11,Angers SCO,Thouars Foot 79,3,2
1997-10-03,ligue-2,13,Le Mans FC,FC Mulhouse,0,1
1997-10-03,national,11,Tours FC,Étoile FC,5,3
1997-10-04,ligue-2,13,FC Martigues,ES Wasquehal,1,3
1997-10-04,ligue-2,13,FC Sochaux,ESTAC Troyes,4,0
1997-10-04,ligue-2,13,AS Beauvais,Stade Lavallois,1,1
1997-10-04,ligue-2,13,Red Star FC,Amiens SC,2,0
1997-10-04,ligue-2,13,AS Saint-Étienne,SM Caen,3,0
1997-10-04,ligue-2,13,FC Lorient,FC Gueugnon,3,0
1997-10-04,ligue-2,13,Lille OSC,ASOA Valence,1,1
1997-10-04,ligue-1,10,RC Lens,LB Châteauroux,1,0
1997-10-04,ligue-1,10,Olympique Marseille,Toulouse FC,2,0
1997-10-04,ligue-1,10,Montpellier HSC,Girondins Bordeaux,0,1
1997-10-04,ligue-1,10,Havre AC,AS Monaco,1,1
1997-10-04,ligue-1,10,AJ Auxerre,Stade Rennais,4,0
1997-10-04,ligue-1,10,EA Guingamp,Olympique Lyonnais,0,1
1997-10-04,ligue-2,13,Nîmes Olympique,AS Nancy Lorraine,0,3
1997-10-04,ligue-2,13,Louhans-Cuiseaux,Chamois Niortais,1,0
1997-10-04,ligue-1,10,SC Bastia,AS Cannes,5,1
1997-10-05,ligue-2,13,OGC Nice,SC Toulon,1,1
1997-10-05,ligue-1,10,RC Strasbourg,FC Metz,2,0
1997-10-05,ligue-1,10,FC Nantes,Paris Saint-Germain,0,0
1997-10-07,ligue-1,11,AS Cannes,AJ Auxerre,2,3
1997-10-07,ligue-1,11,AS Monaco,SC Bastia,1,0
1997-10-08,ligue-2,14,SM Caen,FC Martigues,5,0
1997-10-08,ligue-2,14,SC Toulon,Louhans-Cuiseaux,2,0
1997-10-08,ligue-2,14,ES Wasquehal,Lille OSC,1,1
1997-10-08,ligue-2,14,Amiens SC,FC Lorient,3,0
1997-10-08,ligue-2,14,ESTAC Troyes,Le Mans FC,0,0
1997-10-08,ligue-2,14,Chamois Niortais,AS Beauvais,1,1
1997-10-08,ligue-2,14,FC Gueugnon,ASOA Valence,1,0
1997-10-08,ligue-2,14,FC Mulhouse,Red Star FC,2,1
1997-10-08,ligue-2,14,Stade Lavallois,AS Saint-Étienne,4,1
1997-10-08,ligue-1,11,Stade Rennais,Olympique Marseille,0,2
1997-10-08,ligue-1,11,Toulouse FC,FC Nantes,1,0
1997-10-08,ligue-1,11,LB Châteauroux,RC Strasbourg,2,0
1997-10-08,ligue-1,11,Paris Saint-Germain,EA Guingamp,4,2
1997-10-08,ligue-1,11,FC Metz,Havre AC,2,0
